req_id,domain,status,owner_agent,contract_member,gate,spec_document,requirement
REQ-FND-01,FND,MUST,A01,env-schema,G4,spec/baseline.md,"Monorepo layout even for a single app. Apps live at `apps/<app-name>/`, shared code at `packages/<name>/`."
REQ-FND-02,FND,MUST,A01,env-schema,G4,spec/baseline.md,pnpm workspaces + Turborepo task graph. One lockfile at the root.
REQ-FND-03,FND,MUST,A01,env-schema,G4,spec/baseline.md,"Next.js App Router, React Server Components, TypeScript `strict` with `noUncheckedIndexedAccess`."
REQ-FND-04,FND,MUST,A01,env-schema,G4,spec/edge-proxy.md,"Docker Compose is the run target: `app`, `db` (PostgreSQL), `smtp-relay`, `edge` (HAProxy — REQ-PROX-01). Dev and prod compose files share a base."
REQ-FND-05,FND,MUST,A01,env-schema,G4,spec/baseline.md,PostgreSQL is the only datastore. No secondary state store that survives a restart.
REQ-FND-06,FND,MUST,A20,manifest.json,G2,spec/baseline.md,"All dependency versions come from `versions/manifest.json`, externally validated (REQ-VER-01)."
REQ-FND-07,FND,MUST,A01,env-schema,G4,spec/baseline.md,"Config is env-var driven, parsed and validated at boot by a single Zod schema. Boot fails loudly on a missing or malformed value — never a silent default for a security-relevant key."
REQ-FND-08,FND,MUST,A01,env-schema,G4,spec/baseline.md,"No secret in the image, the repo, or a client bundle. Secrets arrive via env or a mounted file and are redacted from every log sink."
REQ-FND-09,FND,MUST,A01,env-schema,G4,spec/baseline.md,"Reproducible build: pinned base images by digest, `--frozen-lockfile`, deterministic `NEXT_BUILD_ID`."
REQ-FND-10,FND,MUST,A01,env-schema,G4,spec/baseline.md,"Health endpoints: `/api/health/live`, `/api/health/ready` (checks DB, migrations, SMTP, syslog sink)."
REQ-FND-11,FND,MUST,A01,edge-topology / env-schema,G5,spec/edge-proxy.md,"The stack is self-sufficient. On a clean host with a domain pointed at it, `docker compose up` alone yields a working HTTPS deployment — edge terminating TLS, certificate provisioned, migrations applied, app serving. No PaaS, no external orchestrator, no reverse proxy installed by hand, no manual step between the command and a login page. A deployment platform may sit on top of this, and several are documented, but none is required."
REQ-CTR-01,CTR,MUST,A02,contracts package,G3,contracts/README.md,"A single contract package, `packages/contracts`, is the only cross-domain coupling. Two domains never import each other directly."
REQ-CTR-02,CTR,MUST,A02,contracts package,G3,contracts/README.md,The contract package is frozen at gate G3 before parallel work begins. After the freeze it changes only through a Contract Change Request (CCR).
REQ-CTR-03,CTR,MUST,A02,contracts package,G3,contracts/README.md,"Contract changes are additive only. A shipped type, field, permission string, error code, event name, i18n namespace or API operation is never edited or removed in place — a new one is added and the old one deprecated with a removal version."
REQ-CTR-04,CTR,MUST,orchestrator,ownership.md,G3,contracts/README.md,"Every file in the repository has exactly one owning agent, declared in `contracts/ownership.md`. An agent writing outside its ownership is a build defect, not a merge conflict."
REQ-CTR-05,CTR,MUST,A11,generated client / fixtures,G4,contracts/README.md,"Domains consume each other through generated clients and contract fixtures, never through a running instance of the other domain. No agent waits for another agent to finish."
REQ-CTR-06,CTR,MUST,A02,contract fixtures,G3,contracts/README.md,"Contract fixtures are generated from the contract, so a fixture cannot drift from the schema it stands in for."
REQ-CTR-07,CTR,MUST,A02,contracts package,G3,contracts/README.md,A breaking-change detector runs on the contract package on every commit and fails the build on a removed or narrowed member.
REQ-CTR-08,CTR,MUST,A02,_selftest route,G4,contracts/README.md,"Every domain publishes a health/self-test route proving it satisfies its side of the contract, so integration failures localise to one owner."
