requirement_id,spec,component,test_area,status
SZ-FUN-001,specs/00-product.md,TBD,tests,planned
SZ-FUN-002,specs/00-product.md,TBD,tests,planned
SZ-SEC-001,specs/02-threat-model.md,TBD,tests,planned
SZ-SEC-002,specs/02-threat-model.md,TBD,tests,planned
SZ-SEC-003,specs/02-threat-model.md,TBD,tests,planned
SZ-SEC-004,specs/02-threat-model.md,TBD,tests,planned
SZ-SEC-005,specs/02-threat-model.md,TBD,tests,planned
SZ-HSM-001,specs/05-hsm-dkek.md,TBD,tests,planned
SZ-HSM-002,specs/05-hsm-dkek.md,TBD,tests,planned
SZ-HSM-003,specs/05-hsm-dkek.md,TBD,tests,planned
SZ-HSM-004,specs/05-hsm-dkek.md,TBD,tests,planned
SZ-HSM-005,specs/05-hsm-dkek.md,TBD,tests,planned
SZ-AUTH-001,specs/04-identity-auth.md,TBD,tests,planned
SZ-AUTH-002,specs/04-identity-auth.md,TBD,tests,planned
SZ-AUTH-003,specs/04-identity-auth.md,TBD,tests,planned
SZ-AUTH-004,specs/04-identity-auth.md,TBD,tests,planned
SZ-API-001,specs/07-rest-api.md,TBD,tests,planned
SZ-API-002,specs/07-rest-api.md,TBD,tests,planned
SZ-API-003,specs/07-rest-api.md,TBD,tests,planned
SZ-API-004,specs/07-rest-api.md,TBD,tests,planned
SZ-PWA-001,specs/09-pwa-approvals.md,TBD,tests,planned
SZ-PWA-002,specs/09-pwa-approvals.md,TBD,tests,planned
SZ-PWA-003,specs/09-pwa-approvals.md,TBD,tests,planned
SZ-AUD-001,specs/10-audit.md,TBD,tests,planned
SZ-AUD-002,specs/10-audit.md,TBD,tests,planned
SZ-OS-001,specs/11-os-appliance.md,TBD,tests,planned
SZ-OS-002,specs/11-os-appliance.md,TBD,tests,planned
SZ-OS-003,specs/11-os-appliance.md,TBD,tests,planned
SZ-OS-004,specs/11-os-appliance.md,TBD,tests,planned
SZ-OS-005,specs/11-os-appliance.md,TBD,tests,planned
SZ-INS-001,specs/13-installer-setup.md,TBD,tests,planned
SZ-INS-002,specs/13-installer-setup.md,TBD,tests,planned
SZ-INS-003,specs/13-installer-setup.md,TBD,tests,planned
SZ-INS-004,specs/13-installer-setup.md,TBD,tests,planned
SZ-DOC-001,specs/15-documentation.md,TBD,tests,planned
SZ-DOC-002,specs/15-documentation.md,TBD,tests,planned
SZ-DOC-003,specs/15-documentation.md,TBD,tests,planned
