req_id,domain,status,owner_agent,contract_member,gate,spec_document,requirement
REQ-FND-01,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"Cargo workspace even for a single binary. Crates live at `crates/<name>/`, the shipped binary at `crates/app/`."
REQ-FND-02,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"Rust stable, pinned in `rust-toolchain.toml` so every build and every CI run uses one compiler. A floating toolchain makes a reproducibility claim untestable."
REQ-FND-03,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"`windows` (windows-rs) is the only route to Win32 and WinRT. No hand-declared `extern ""system""` blocks, no second binding crate — one binding layer or the ABI assumptions diverge."
REQ-FND-04,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,Target `x86_64-pc-windows-msvc` and `aarch64-pc-windows-msvc`. Both are built and both are released; ARM64 is not an afterthought.
REQ-FND-05,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"A stated minimum supported Windows version, enforced at startup with a clear message rather than a missing-entry-point crash."
REQ-FND-06,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"`#![forbid(unsafe_op_in_unsafe_fn)]` workspace-wide, `unsafe` confined to a named FFI boundary module per crate, and every `unsafe` block carrying a comment stating the invariant it relies on."
REQ-FND-07,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"`#![deny(warnings)]` in CI, `clippy::pedantic` reviewed, and `cargo fmt --check` enforced."
REQ-FND-08,FND,MUST,B16,manifest.json,H2,spec/foundation.md,"All versions come from `versions/manifest.json`, externally validated (REQ-VER-01)."
REQ-FND-09,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"Reproducible release builds: locked dependencies, `--locked`, a recorded toolchain version, and a documented procedure for rebuilding a given release from its tag."
REQ-FND-10,FND,MUST,B11,(telemetry kill-list),H7,spec/supply-chain.md,"No telemetry, no phone-home, no crash reporting to a third party, from the app or from any dependency (REQ-SBM-06)."
REQ-FND-11,FND,MUST,B01,ffi-boundary,H7,spec/foundation.md,"The app runs as a normal user. `asInvoker` in the application manifest. Only the installer path elevates (REQ-INST-04). An app that always runs elevated is a defect, not a convenience."
REQ-FND-12,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"Single self-contained executable with no runtime installer prerequisite — no VC++ redistributable step, no .NET requirement."
REQ-FND-13,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"A `.gitignore` is present from the first commit, not added once the tree is already dirty with build output. It excludes build output, installer artefacts, capture output, and — the line that matters — every private signing key and certificate. `REQ-REL-04` says the signing key never enters a repository and `REQ-UPD-02`'s whole trust chain rests on the update key staying secret; without this file nothing enforces either, and a git history is not something you can un-leak."
REQ-FND-14,FND,MUST,B01,env-config / ffi-boundary / paths,H4,spec/foundation.md,"The `.gitignore` never excludes `build/`, `mockups/`, `crates/update/keys/*.pub` or `crates/update/tests/fixtures/`. `build/` is the conformity evidence cited at the strongest tier; the mockups are the compiled styling proofs the design is checked against (`REQ-MOC-08`); the public keys are `include_str!`'d at compile time (`REQ-UPD-03`), so ignoring them breaks the build outright; and the negative-test fixtures are committed deliberately because `minisign-verify` cannot sign and CI cannot regenerate them. The private/public asymmetry is the trap — a blanket `keys/` rule ignores both halves."
REQ-DSN-01,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,"A complete design system exists and is approved before feature decisions are made. Colours, typography, spacing, radii, elevation, iconography, motion and state styling are all settled first."
REQ-DSN-02,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,The design system is expressed as code — a token module compiled into the binary — not as a document describing intentions. A token that cannot be compiled is a suggestion.
REQ-DSN-03,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,"Full light and dark themes, both designed. Dark is not the light theme inverted, and light is not dark with the numbers flipped."
REQ-DSN-04,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,"The theme follows the Windows system preference by default, switches live when the user changes it without restarting the app, and can be overridden to a fixed light or dark in app settings."
REQ-DSN-05,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,"Fonts are named, licence-cleared, and either embedded in the binary or resolved from a documented system fallback chain. A font that is not on the target machine and not embedded is a design that ships broken."
REQ-DSN-06,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,"Every colour pair used for text or meaningful iconography meets WCAG 2.2 AA contrast in both themes, asserted by a test over the token table rather than checked by eye."
REQ-DSN-07,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,"Colour is never the only carrier of meaning — state is also conveyed by shape, icon or text."
REQ-DSN-08,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,Respect the system's reduced-motion and high-contrast settings. High-contrast mode replaces the palette rather than tinting it.
REQ-DSN-09,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,"A named, versioned token set with no raw hex outside the token module. A literal colour in a view is a lint failure."
REQ-DSN-10,DSN,MUST,B03,design-tokens,H1,spec/design-system.md,"The system covers every interactive state — rest, hover, focus-visible, active, disabled, busy, error — for every control, because the states nobody designs are the ones that look broken."
REQ-DSN-11,DSN,MUST,B05,view-registry,H6,spec/app-surface.md,"DPI scaling correct from 100% to 250% and across monitors with different scale factors, including a window dragged between them."
REQ-MOC-01,MOC,MUST,B04,(pre-contract),H1,spec/mockups.md,The first build phase produces mockups for human approval. No feature work begins before a human approves the design direction.
REQ-MOC-02,MOC,MUST,B04,(pre-contract),H1,spec/mockups.md,"Mockups are compiled programs, not pictures. Each is a small Rust binary that builds and runs, proving the styling is achievable in the chosen stack. A mockup that cannot be compiled has proven nothing."
REQ-MOC-03,MOC,MUST,B04,(pre-contract),H1,spec/mockups.md,"Each mockup is deliberately minimal — one screen, the token set, and enough controls to show the states of REQ-DSN-10. It is a styling proof, not a prototype of the product."
REQ-MOC-04,MOC,MUST,B04,(pre-contract),H1,spec/mockups.md,"Every mockup builds with `cargo build -p mockup-<n>` from a clean checkout, and the build is part of the gate. A mockup that only builds on the author's machine has proven nothing either."
REQ-MOC-05,MOC,MUST,B15,(screenshots),H1,spec/mockups.md,"Each mockup runs in both light and dark and is screenshotted in both, and the screenshots are presented in the chat response to the user."
REQ-MOC-06,MOC,MUST,B04,(pre-contract),H1,spec/mockups.md,"Between three and five mockups, differentiated by design direction — density, typographic scale, chrome weight, accent strategy — not by accent colour alone."
REQ-MOC-07,MOC,MUST,B04,(pre-contract),H1,spec/mockups.md,"Each mockup states, in its own source header, the direction it is testing and what it gives up to get there. A direction with no stated tradeoff has not been thought through."
REQ-MOC-08,MOC,MUST,orchestrator,approvals.md,H1,spec/mockups.md,"The winning direction is named by a human and recorded in `build/approvals.md`. The token module is then derived from that mockup, and the mockup is kept in-tree as the reference the design is checked against."
REQ-UI-01,UI,MUST,B00,(intake),H0,spec/app-surface.md,"A GUI framework chosen at intake with a stated default, where the design system's tokens are expressible in code (REQ-DSN-02) and dark/light are first-class."
REQ-UI-02,UI,MUST,B05,view-registry / settings-registry,H6,spec/app-surface.md,"Native window behaviour: system chrome or a correctly implemented custom title bar with working snap, maximise, restore and keyboard window commands."
REQ-UI-03,UI,MUST,B05,view-registry / settings-registry,H6,spec/app-surface.md,"Window position, size and monitor are persisted and restored, and a window restored onto a monitor that no longer exists is brought back on-screen rather than opened off-screen."
REQ-UI-04,UI,MUST,B05,view-registry / settings-registry,H6,spec/app-surface.md,"Keyboard complete. Every action reachable without a mouse, a visible focus indicator, and standard Windows accelerators honoured."
REQ-UI-05,UI,MUST,B05,view-registry / settings-registry,H6,spec/app-surface.md,"Screen-reader accessible through UI Automation, with named controls and announced state changes."
REQ-UI-06,UI,MUST,B05,view-registry / settings-registry,H6,spec/app-surface.md,The UI thread never blocks. Every I/O and long operation is off-thread with a visible progress and cancel path. A frozen window is the most common defect class in this kind of app.
REQ-UI-07,UI,MUST,B05,view-registry / settings-registry,H6,spec/app-surface.md,"Designed empty, loading, error and offline states for every view (REQ-DSN-10)."
REQ-UI-08,UI,MUST,B05,view-registry,H6,spec/app-surface.md,"Multi-language ready: no user-visible literal in a view, all strings from a catalogue, and locale resolved from the system with an in-app override."
REQ-UI-09,UI,MUST,B05,view-registry / settings-registry,H6,spec/app-surface.md,"Settings UI covering theme, autostart, update channel and behaviour, service mode, and diagnostics."
REQ-TRY-01,TRY,MUST,B06,tray-state,H6,spec/app-surface.md,"A tray icon with a context menu, correct light/dark and high-contrast icon variants, and correct rendering at every DPI."
REQ-TRY-02,TRY,MUST,B06,tray-state,H6,spec/app-surface.md,The tray icon survives an Explorer restart and re-registers itself. A tray app that vanishes when Explorer crashes is the defect users report most.
REQ-TRY-03,TRY,MUST,B06,tray-state,H6,spec/app-surface.md,"Configurable close behaviour — minimise to tray or exit — with the choice discoverable rather than surprising, and a first-time explanation of where the window went."
REQ-TRY-04,TRY,MUST,B06,tray-state,H6,spec/app-surface.md,"The menu reflects live state (running, paused, updating, error, service mode) and offers Open, state actions, Check for updates, Settings, About and Exit."
REQ-TRY-05,TRY,MUST,B06,tray-state,H6,spec/app-surface.md,"Tray notifications through the Windows notification system, respecting Focus Assist and the user's notification settings, and never used for content that belongs in the window."
REQ-TRY-06,TRY,MUST,B06,tray-state,H6,spec/app-surface.md,Single-instance: launching again focuses the running instance rather than starting a second tray icon.
REQ-TRY-07,TRY,MUST,B06,tray-state,H6,spec/app-surface.md,"Exit from the tray is a real exit — no orphaned process, no lingering tray icon, and any service left in its declared state."
REQ-INST-01,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,The shipped executable can install itself: `app.exe --install` performs a complete installation with no separate installer download.
REQ-INST-02,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"Per-user install with no elevation as the default; machine-wide install available and elevating only then. Most users do not need Program Files, and asking for administrator when it is not needed trains people to grant it when it is."
REQ-INST-03,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"An MSI is additionally produced for enterprise deployment, supporting silent install with the same options as the CLI."
REQ-INST-04,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"Elevation is requested at the moment it is needed via a UAC prompt from a re-launched elevated instance, with the reason stated beforehand. The app's own manifest stays `asInvoker` (REQ-FND-11)."
REQ-INST-05,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"Installation registers Add/Remove Programs entries with publisher, version, size, icon and a working uninstall command."
REQ-INST-06,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"Uninstall is complete and honest: binaries, shortcuts, registry entries, scheduled tasks, the service and the autostart entry all removed, with an explicit prompt about whether to keep user data."
REQ-INST-07,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"Install, upgrade-in-place, repair and uninstall are all idempotent. Running any of them twice leaves the same state as running it once."
REQ-INST-08,INST,MUST,B07,install-mode,H7,spec/installer.md,The installer verifies its own signature and the integrity of what it writes before activating anything (REQ-SEC-02).
REQ-INST-09,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,Install is transactional: a failure rolls back to the previous state rather than leaving a half-installed application.
REQ-INST-10,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"Start Menu shortcut always; desktop shortcut offered, not assumed."
REQ-INST-11,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"A silent/unattended mode (`--install --silent`) with a documented exit-code table, for deployment tooling."
REQ-INST-12,INST,MUST,B07,install-mode / exit-codes,H5,spec/installer.md,"Every install, upgrade, repair and uninstall writes a log to a documented location, and the log is the first thing support asks for."
REQ-SVC-01,SVC,OPT,B08,service-state / ipc-contract,H5,spec/service-autostart.md,"The app can install and run as a Windows service where the intake requires one, using the same binary in a different mode."
REQ-SVC-02,SVC,MUST,B08,service-state / ipc-contract,H5,spec/service-autostart.md,"Service install, start, stop and uninstall are explicit commands with an exit-code contract, and a service is never installed silently as a side effect of the app install."
REQ-SVC-03,SVC,MUST,B08,service-state / ipc-contract,H5,spec/service-autostart.md,"The service runs under the least-privileged account that works — `LocalService` or a virtual service account by default, never `LocalSystem` unless a stated requirement forces it and the reason is recorded."
REQ-SVC-04,SVC,MUST,B08,service-state / ipc-contract,H5,spec/service-autostart.md,"The service responds correctly to stop, shutdown and pause/continue, and reports accurate status rather than claiming to be running while it initialises."
REQ-SVC-05,SVC,MUST,B08,service-state / ipc-contract,H5,spec/service-autostart.md,The service and the interactive app are the same version and detect a mismatch rather than interoperating across versions.
REQ-SVC-06,SVC,MUST,B08,ipc-contract,H7,spec/service-autostart.md,"Service↔UI communication is a local IPC channel with an access-controlled endpoint. It never listens on a network socket by default, and it authenticates the caller rather than trusting local origin."
REQ-SVC-07,SVC,MUST,B08,service-state / ipc-contract,H5,spec/service-autostart.md,"Autostart at user login is offered, default off, and implemented through a documented mechanism whose choice is stated: per-user registry `Run` for the simple case, Task Scheduler where a delay or elevation is needed."
REQ-SVC-08,SVC,MUST,B08,service-state / ipc-contract,H5,spec/service-autostart.md,"The autostart entry is created for the installing user only, is removed on uninstall, and is visible to the user in settings rather than being something they discover in Task Manager."
REQ-SVC-09,SVC,MUST,B08,service-state / ipc-contract,H5,spec/service-autostart.md,"Autostart launches the app minimised to tray, not with a window stealing focus during login."
REQ-SVC-10,SVC,MUST,B08,service-state / ipc-contract,H5,spec/service-autostart.md,Service failure recovery is configured deliberately — restart policy and backoff stated — and a crash loop is detected and reported rather than restarting forever.
REQ-UPD-01,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"Automatic update with no user intervention required, and a manual check available."
REQ-UPD-02,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,Every update artefact is cryptographically signed and the signature is verified before anything is executed or swapped in. An auto-updater without signature verification is a remote code execution channel that ships enabled.
REQ-UPD-03,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,The signing public key is embedded in the binary. A key fetched over the network at update time is not a trust anchor.
REQ-UPD-04,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"Update transport is HTTPS with certificate validation, and the downloaded artefact's hash is checked against the signed manifest."
REQ-UPD-05,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"Downgrade is refused unless explicitly forced by an operator, because a forced downgrade is how a patched vulnerability is reintroduced."
REQ-UPD-06,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"The swap is atomic and survives a mid-update failure or power loss, leaving either the old or the new version working and never a mixture."
REQ-UPD-07,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"Update channels — stable and at least one pre-release channel — selectable in settings, with the current channel visible."
REQ-UPD-08,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,Update checks are staggered and rate-limited so a fleet does not synchronise into a thundering herd on release day.
REQ-UPD-09,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"A running instance is updated safely: either on next restart, or with an explicit restart prompt. An update does not kill the user's in-progress work."
REQ-UPD-10,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"Updating a service-mode installation stops, replaces and restarts the service in the right order, and reports failure rather than leaving it stopped."
REQ-UPD-11,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"Update failures are visible, retried with backoff, and never silent. A silent update failure is how a deployment sits unpatched for months."
REQ-UPD-12,UPD,MUST,B09,update-manifest / channel,H7,spec/updater.md,"An update can be disabled or pinned by policy for managed environments, and the policy is discoverable in the UI rather than mysterious."
REQ-UPD-13,UPD,MUST,B09,update-manifest,H7,spec/updater.md,"Security updates are distinguishable from feature updates in the manifest, so an operator can take one without the other (REQ-CRA-07)."
REQ-REL-01,REL,MUST,B10,release-artifacts,H8,spec/release.md,"One release pipeline publishes to both GitHub and Gitea from a single tag, without a second manual process that will drift."
REQ-REL-02,REL,MUST,B10,release-artifacts,H8,spec/release.md,"Gitea is a first-class target, not a mirror. Its releases API is GitHub-compatible, so the publisher differs by endpoint and credential, not by code path."
REQ-REL-03,REL,MUST,B10,release-artifacts,H8,spec/release.md,"Every release carries: signed binaries for both architectures, the MSI, the SBOM, checksums, the signed update manifest, and release notes."
REQ-REL-04,REL,MUST,B10,release-artifacts,H8,spec/release.md,"Release artefacts are code-signed with a real certificate; the signing key never enters a build log, a repository, or an unencrypted CI variable."
REQ-REL-05,REL,MUST,B17,(release record),H8,spec/release.md,"Semantic versioning, with the version derived from the tag and compiled into the binary so a running instance can state exactly what it is."
REQ-REL-06,REL,MUST,B10,release-artifacts,H8,spec/release.md,"The release is reproducible from its tag, and the procedure is documented and tested (REQ-FND-09)."
REQ-REL-07,REL,MUST,B17,(release record),H8,spec/release.md,Release notes are generated from the change record and separate security fixes from features (REQ-UPD-13).
REQ-REL-08,REL,MUST,B10,release-artifacts,H8,spec/release.md,"A failed publish to either forge fails the release. A half-published release means the update manifest and the artefacts disagree, which is worse than no release."
